MKey,AircraftNumber,DamageLevel,RegistrationNumber,AircraftCategory,AircraftMake,AircraftModel,RegulationFlightConductedUnder,PurposeOfFlight,IntentionalAct,PhaseOfFlight,DefiningEvent
85043,1,Substantial,N58844,Airplane,CESSNA,182P,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
85044,1,Substantial,N158CF,Airplane,FREDERICK,F 1,Part 91: General aviation,Air race/show,,Maneuvering,System/Component Failure - Non-power
85045,1,Substantial,N6072K,Airplane,REPUBLIC,RC-3,Part 91: General aviation,Personal,,Approach,Unintended Flight Into IMC
85046,1,Substantial,N58020,Helicopter,AEROSPATIALE,AS 355F1,Part 91: General aviation,Business,,Enroute,System/Component Failure - Non-power
85047,1,Substantial,N6512Y,Airplane,LANCAIR COMPANY,LC42-550FG,Part 91: General aviation,Personal,,Unknown,Unknown
85048,1,Substantial,N2207X,Airplane,YAKOVLEV,YAK 52,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
85049,1,Substantial,N3533D,Airplane,JDT MINI-MAX LLC,1500R,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
85051,1,Substantial,N4760R,Airplane,SACKMAN,SACKMAN SPECIAL,Part 91: General aviation,Personal,,Maneuvering,System/Component Failure - Powerplant
85053,1,Substantial,N966G,Airplane,MCHENRY GEORGE B JR,KR2S,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
85054,1,Substantial,N58119,Airplane,MOONEY,M20J,Part 91: General aviation,Personal,,Enroute,Controlled Flight Into Terrain
85057,1,Substantial,N1085A,Airplane,MOONEY,M20M,Part 91: General aviation,Personal,,Enroute,Loss of Control In-Flight
85066,1,Substantial,N4589M,Airplane,PIPER,PA-11,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
85067,1,Substantial,N4434P,Airplane,HAWKER,MK 11 SEA FURY,Part 91: General aviation,Air race/show,,Landing,Abnormal Runway Contact
85068,1,Substantial,N4786Q,Airplane,CESSNA,A185F,Part 91: General aviation,Other work use,,Approach,Other
85069,1,Substantial,N8433D,Airplane,PIPER,PA-22-160,Part 91: General aviation,Instructional,,Maneuvering,Loss of Control In-Flight
85070,1,Substantial,N428JD,Airplane,BEECH,400,Part 91: General aviation,Executive/Corporate,,Landing,Undershoot/Overshoot
85071,1,Substantial,N84549,Airplane,CESSNA,172K,Part 91: General aviation,Personal,,Taxi,Loss of Control on Ground
85074,1,Substantial,N1356Y,Airplane,BARNEY,STARDUSTRER SA-100,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
85078,1,Substantial,N812S,Airplane,Aeropro CZ,A240,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
85079,1,Substantial,N957R,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,Part 91: General aviation,Aerial application,,Landing,Abnormal Runway Contact
85083,1,Substantial,N1164Q,Airplane,CESSNA,A185F,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
85085,1,Substantial,N8293E,Airplane,CESSNA,172N,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
85086,1,Substantial,N172HA,Airplane,CESSNA,172M,Part 91: General aviation,Aerial observation,,Enroute,Fuel Related
85087,1,Destroyed,N222GR,Helicopter,BELL,206 - B,Part 91: General aviation,Aerial observation,,Maneuvering,Loss of Lift
85088,1,Substantial,N2409E,Airplane,CESSNA,172S,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
85089,1,Substantial,N5534G,Airplane,CESSNA,421C,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
85090,1,Substantial,N4777V,Airplane,BOEING,A75N1(PT17),Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
85091,1,Substantial,N1620A,Airplane,PIPER,PA-18,Part 91: General aviation,Personal,,Takeoff,Runway Excursion
85092,1,Substantial,N34722,Airplane,CESSNA,177B,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
85095,1,Substantial,N57112,Airplane,ROCKWELL INTERNATIONAL,690A,Part 91: General aviation,Aerial observation,,Maneuvering,Turbulence Encounter
85096,1,Substantial,N8130F,Airplane,CESSNA,150F,Part 91: General aviation,Personal,,Landing,System/Component Failure - Non-power
85097,1,Substantial,N5196H,Airplane,PIPER,PA-14,Part 91: General aviation,Personal,,Enroute,Other
85098,1,Substantial,N48GC,Airplane,BEECH,A60,"Non-U.S., non-commercial",Personal,,Unknown,Unknown
85099,1,Substantial,N194E,Helicopter,ENSTROM,F-28A,Part 91: General aviation,Personal,,Taxi,Ground Collision
85100,1,Substantial,N37754,Helicopter,HUGHES,269A,Part 91: General aviation,Instructional,,Takeoff,System/Component Failure - Powerplant
85101,1,Substantial,N3629Q,Airplane,BEECHCRAFT,A23-24,Part 91: General aviation,Personal,,Landing,Undershoot/Overshoot
