MKey,AircraftNumber,Category,Subcategory,Section,Subsection,ModifierName
82591,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Effect on equipment
82591,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Ability to respond/compensate
82595,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
82595,1,Aircraft,Aircraft systems,Ice/rain protection system,"Intake anti-ice, deice",Design
82595,1,Aircraft,Aircraft power plant,Engine fuel and control,Fuel control/carburetor,Capability exceeded
82595,1,Personnel issues,Task performance,Maintenance,Installation,Owner/builder
82599,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
82599,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82603,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82603,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82603,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Awareness of condition
82607,1,Aircraft,Aircraft propeller/rotor,Tail rotor drive system,Tail rotor gearbox,Fatigue/wear/corrosion
82607,1,Aircraft,Aircraft propeller/rotor,Tail rotor drive system,Tail rotor gearbox,Incorrect service/maintenance
82607,1,Personnel issues,Task performance,Maintenance,Repair,Maintenance personnel
82615,1,Aircraft,Aircraft structures,Doors,Passenger/crew doors,Incorrect use/operation
82615,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82615,1,Personnel issues,Psychological,Attention/monitoring,Attention,Pilot
82616,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip eng rear section,Failure
82616,1,Personnel issues,Action/decision,Action,Incomplete action,Maintenance personnel
82616,1,Environmental issues,Physical environment,Object/animal/substance,Wire,Contributed to outcome
82616,1,Environmental issues,Physical environment,Object/animal/substance,Pole,Contributed to outcome
82621,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82623,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82623,1,Aircraft,Aircraft systems,Landing gear system,Brake,Malfunction
82623,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82624,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82624,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82632,1,Personnel issues,Action/decision,Action,Delayed action,Instructor/check pilot
82632,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82632,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
82635,1,Aircraft,Aircraft systems,Landing gear system,Main gear strut/axle/truck,Fatigue/wear/corrosion
82635,1,Aircraft,Aircraft systems,Landing gear system,Main landing gear,Failure
82645,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82645,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82645,1,Aircraft,Aircraft systems,Landing gear system,Nose/tail landing gear,Not specified
82645,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82646,1,Aircraft,Aircraft power plant,Ignition system,Magneto/distributor,Incorrect service/maintenance
82646,1,Personnel issues,Task performance,Maintenance,Installation,Other
82646,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82646,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Not specified
82646,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82646,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82646,1,Personnel issues,Task performance,Inspection,Post maintenance inspection,Maintenance personnel
82648,1,Personnel issues,Task performance,Planning/preparation,(general),Pilot
82648,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Contributed to outcome
82660,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid condition
82660,1,Aircraft,Aircraft systems,Fuel system,(general),Design
82661,1,Personnel issues,Action/decision,Action,(general),Passenger
82661,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Attain/maintain not possible
82661,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82669,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Instructor/check pilot
82669,1,Aircraft,Aircraft power plant,Power plant,Air intake,Incorrect use/operation
82669,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
82671,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
82671,1,Environmental issues,Conditions/weather/phenomena,Wind,Downdraft,Effect on operation
82672,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82672,1,Aircraft,Aircraft systems,Landing gear system,Landing gear brakes system,Not specified
82672,1,Personnel issues,Action/decision,Action,Delayed action,Instructor/check pilot
82672,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82677,1,Personnel issues,Physical,Impairment/incapacitation,Alcohol,Pilot
82677,1,Personnel issues,Action/decision,Action,(general),Pilot
82677,1,Aircraft,Aircraft systems,Lighting system,Flight compartment lighting,Not serviced/maintained
82677,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82682,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82682,1,Environmental issues,Conditions/weather/phenomena,Wind,Variable wind,Contributed to outcome
82682,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Contributed to outcome
82682,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82683,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
82683,1,Personnel issues,Action/decision,Action,Lack of action,Flight crew
82683,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82684,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Engine out control,Not attained/maintained
82684,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller feather/reversing,Not used/operated
82684,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
82684,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82684,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
82688,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
82688,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
82691,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82694,1,Aircraft,Aircraft systems,Landing gear system,(general),Not used/operated
82694,1,Personnel issues,Action/decision,Action,Forgotten action/omission,Pilot
82704,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82704,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Prop/rotor parameters,Not attained/maintained
82705,1,Personnel issues,Action/decision,Action,Lack of action,Pilot
82705,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
82705,1,Aircraft,Aircraft power plant,Engine controls,(general),Not used/operated
82708,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
82708,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low ceiling,Contributed to outcome
82708,1,Aircraft,Aircraft systems,Equipment/furnishings,Flight compartment equipment,Related operating info
82708,1,Environmental issues,Physical environment,Object/animal/substance,Aircraft,Awareness of condition
82713,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
82713,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82713,1,Aircraft,Aircraft systems,Flight control system,Rudder control system,Not specified
82714,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82714,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low ceiling,Contributed to outcome
82714,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Fog,Contributed to outcome
82714,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low visibility,Contributed to outcome
82714,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Contributed to outcome
82714,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
82715,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Pitch control,Incorrect use/operation
82715,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82715,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
82715,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Incorrect use/operation
82716,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82716,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82716,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
82721,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Effect on operation
82721,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82721,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
82730,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82730,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
82730,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82730,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,(general),Effect on operation
82730,1,Personnel issues,Experience/knowledge,Experience/qualifications,Qualification/certification,Pilot
82734,1,Personnel issues,Miscellaneous,(general),(general),Ground crew
82734,1,Environmental issues,Conditions/weather/phenomena,Wind,High wind,Contributed to outcome
82734,1,Aircraft,Aircraft propeller/rotor,Main rotor system,Main rotor blade system,Damaged/degraded
82744,1,Environmental issues,Conditions/weather/phenomena,Light condition,Glare,Effect on personnel
82744,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82744,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82746,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Contributed to outcome
82746,1,Aircraft,Aircraft power plant,(general),(general),Malfunction
82746,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82755,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82755,1,Personnel issues,Action/decision,Action,Lack of action,Pilot
82756,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82756,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Contributed to outcome
82757,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82757,1,Environmental issues,Physical environment,Object/animal/substance,Sign/marker,Contributed to outcome
82757,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82758,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Effect on equipment
82760,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82760,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82760,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Effect on equipment
82762,1,Aircraft,Aircraft power plant,Engine fuel and control,(general),Incorrect use/operation
82762,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
82762,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82771,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Incorrect use/operation
82771,1,Personnel issues,Action/decision,Action,Incorrect action sequence,Pilot
82772,1,Aircraft,Aircraft power plant,Ignition system,Switching,Incorrect use/operation
82772,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
82774,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82774,1,Environmental issues,Operating environment,Meteorological services,Other weather service,Accuracy of related info
82774,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82774,1,Environmental issues,Physical environment,Terrain,Snowy/icy terrain,Contributed to outcome
82774,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Contributed to outcome
82776,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
82776,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82784,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
82784,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82789,1,Personnel issues,Action/decision,Action,Incorrect action performance,Passenger
82789,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Yaw control,Attain/maintain not possible
82794,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
82794,1,Environmental issues,Physical environment,Object/animal/substance,(general),Contributed to outcome
82794,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82794,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82804,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82804,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Incorrect use/operation
82808,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Attain/maintain not possible
82808,1,Aircraft,Aircraft systems,Landing gear system,Landing gear steering system,Failure
82809,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82809,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82809,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82809,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82809,1,Personnel issues,Experience/knowledge,Training,Training with equipment,Pilot
82809,1,Organizational issues,Support/oversight/monitoring,Safety programs,Adequacy of safety program,FAA/Regulator
82812,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
82812,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Instructor/check pilot
82812,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82813,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
82813,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low ceiling,Not specified
82813,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82813,1,Environmental issues,Conditions/weather/phenomena,Light condition,Low light,Not specified
82814,1,Aircraft,Aircraft power plant,Ignition system,Magneto/distributor,Malfunction
82814,1,Aircraft,Aircraft power plant,Ignition system,Magneto/distributor,Not serviced/maintained
82814,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
82815,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
82815,1,Personnel issues,Physical,Impairment/incapacitation,Prescription medication,Pilot
82815,1,Personnel issues,Action/decision,Info processing/decision,(general),Pilot
82815,1,Environmental issues,Physical environment,Object/animal/substance,Wire,Not specified
82818,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82818,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82818,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Effect on equipment
82819,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82820,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82820,1,Aircraft,Aircraft systems,Electrical power system,AC generator-alternator,Not specified
82820,1,Personnel issues,Action/decision,Action,Incorrect action selection,Pilot
82820,1,Aircraft,Aircraft systems,Landing gear system,Gear position and warning,Not used/operated
82820,1,Personnel issues,Task performance,Use of equip/info,Use of checklist,Pilot
82826,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82826,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82835,1,Aircraft,Aircraft power plant,Engine controls,Power lever,Incorrect use/operation
82835,1,Aircraft,Aircraft handling/service,Parking/securing,Tie-down/mooring,Not specified
82835,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82835,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82837,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82837,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82839,1,Personnel issues,Action/decision,Action,Incorrect action performance,Student/instructed pilot
82839,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Surface speed/braking,Incorrect use/operation
82839,1,Personnel issues,Action/decision,Action,Lack of action,Instructor/check pilot
82839,1,Aircraft,Aircraft power plant,Engine controls,Power lever,Incorrect use/operation
82842,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82842,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Response/compensation
82842,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Not specified
82854,1,Aircraft,Aircraft propeller/rotor,Main rotor system,Main rotor mast/swashplate,Failure
82854,1,Aircraft,Aircraft propeller/rotor,Main rotor system,Main rotor mast/swashplate,Fatigue/wear/corrosion
82854,1,Aircraft,Aircraft propeller/rotor,(general),(general),Incorrect service/maintenance
82855,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82855,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Contributed to outcome
82856,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82856,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82857,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on operation
82857,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
82860,1,Aircraft,Aircraft structures,(general),(general),Not specified
82860,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
82860,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82860,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82861,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Not specified
82861,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Obscuration,Effect on operation
82861,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
82861,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82862,1,Personnel issues,Physical,Impairment/incapacitation,Cardiovascular,Pilot
82867,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82867,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Effect on equipment
82867,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Response/compensation
82867,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82869,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82869,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
82881,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82881,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Response/compensation
82881,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82885,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Incorrect use/operation
82885,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Effect on operation
82885,1,Personnel issues,Action/decision,Action,Incorrect action performance,Student/instructed pilot
82888,1,Personnel issues,Action/decision,Action,Lack of action,Instructor/check pilot
82888,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent rate,Not attained/maintained
82888,1,Aircraft,Aircraft power plant,Engine controls,(general),Not used/operated
82889,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82889,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Contributed to outcome
82893,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent rate,Incorrect use/operation
82893,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82896,1,Personnel issues,Action/decision,Action,Lack of action,Pilot
82896,1,Personnel issues,Action/decision,Action,Incorrect action selection,Owner/builder
82896,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
82896,1,Aircraft,Aircraft systems,Navigation system,Directional gyro & indication,Failure
82896,1,Aircraft,Aircraft systems,Navigation system,Attitude gyro & indication,Failure
82896,1,Aircraft,Aircraft systems,Vacuum system,Vacuum distribution system,Failure
82896,1,Personnel issues,Physical,Sensory ability/limitation,Vestibular function,Pilot
82897,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Effect on operation
82897,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82897,1,Personnel issues,Physical,Impairment/incapacitation,Alcohol,Pilot
82897,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
82897,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Ability to respond/compensate
82898,1,Personnel issues,Action/decision,Action,Forgotten action/omission,Pilot
82898,1,Aircraft,Aircraft systems,Landing gear system,(general),Not used/operated
82901,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82901,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
82901,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Effect on equipment
82902,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
82902,1,Personnel issues,Task performance,Planning/preparation,Weather planning,Pilot
82902,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82906,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82906,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82909,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Yaw control,Not attained/maintained
82909,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82913,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82913,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
82913,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Contributed to outcome
82915,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82917,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller controlling system,Incorrect service/maintenance
82917,1,Aircraft,Fluids/misc hardware,Fluids,Oil,Fluid level
82917,1,Personnel issues,Task performance,Maintenance,Installation,Maintenance personnel
82918,1,Environmental issues,Conditions/weather/phenomena,Turbulence,Wake turbulence,Contributed to outcome
82918,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82918,1,Personnel issues,Action/decision,Action,Lack of action,Pilot
82919,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Effect on operation
82919,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82919,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82920,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to structural icing,Effect on equipment
82920,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82920,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82920,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82924,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Contributed to outcome
82924,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Awareness of condition
82925,1,Personnel issues,Task performance,Inspection,Preflight inspection,Instructor/check pilot
82925,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
82925,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid condition
82926,2,Personnel issues,Action/decision,Action,Lack of action,ATC personnel
82926,1,Personnel issues,Psychological,Attention/monitoring,Monitoring other aircraft,Pilot
82926,1,Personnel issues,Action/decision,Action,Lack of action,ATC personnel
82926,2,Personnel issues,Psychological,Attention/monitoring,Monitoring other aircraft,Pilot
82927,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Pitch control,Not attained/maintained
82927,1,Personnel issues,Action/decision,Action,Incorrect action selection,Pilot
82927,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
82928,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82939,1,Aircraft,Aircraft systems,Landing gear system,Gear position and warning,Incorrect use/operation
82939,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Configuration,Related operating info
82939,1,Personnel issues,Task performance,Use of equip/info,Use of checklist,Pilot
82941,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82941,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82941,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Response/compensation
82942,1,Personnel issues,Action/decision,Info processing/decision,Identification/recognition,Pilot
82942,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Contributed to outcome
82944,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
82944,1,Personnel issues,Experience/knowledge,Experience/qualifications,Qualification/certification,Pilot
82944,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
82946,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
82946,1,Personnel issues,Psychological,Perception/orientation/illusion,Perception,Pilot
82947,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Effect on operation
82947,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82947,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82949,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82950,1,Personnel issues,Task performance,Maintenance,Fabrication,Owner/builder
82950,1,Aircraft,Aircraft power plant,Engine exhaust,(general),Related operating info
82951,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82951,1,Environmental issues,Physical environment,Terrain,(general),Contributed to outcome
82951,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82953,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82956,1,Organizational issues,Support/oversight/monitoring,Documentation/record keeping,Maintenance records,Operator
82956,1,Aircraft,Aircraft propeller/rotor,Main rotor system,Main rotor blade system,Failure
82956,1,Not determined,Not determined,(general),(general),Unknown/Not determined
82958,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total experience w/ equipment,Pilot
82958,1,Personnel issues,Action/decision,Action,Delayed action,Instructor/check pilot
82958,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
82958,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82963,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
82963,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
82963,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
82967,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Effect on operation
82967,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
82967,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
82967,1,Personnel issues,Experience/knowledge,Experience/qualifications,Qualification/certification,Pilot
82967,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
82967,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
82969,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Contributed to outcome
