MKey,AircraftNumber,Category,Subcategory,Section,Subsection,ModifierName
88743,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Incorrect use/operation
88743,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
88745,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88745,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Contributed to outcome
88745,1,Environmental issues,Physical environment,Object/animal/substance,Hidden/submerged object,Contributed to outcome
88750,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
88750,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
88750,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88754,1,Aircraft,Aircraft systems,Landing gear system,Gear extension and retract sys,Failure
88754,1,Aircraft,Aircraft systems,Hydraulic power system,"Hydraulic, main system",Incorrect use/operation
88754,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88759,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88759,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
88759,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to structural icing,Contributed to outcome
88759,1,Aircraft,Aircraft power plant,Engine (turbine/turboprop),(general),Not specified
88766,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
88766,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
88766,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Not specified
88766,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low ceiling,Not specified
88766,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low visibility,Not specified
88767,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88767,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Effect on operation
88767,1,Environmental issues,Physical environment,Object/animal/substance,Snow/ice,Contributed to outcome
88768,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
88768,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Student/instructed pilot
88769,1,Personnel issues,Action/decision,Action,Delayed action,Instructor/check pilot
88769,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Soft surface,Contributed to outcome
88769,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
88769,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
88772,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip engine power section,Failure
88772,1,Environmental issues,Physical environment,Terrain,Rough terrain,Contributed to outcome
88772,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip eng cyl section,Failure
88773,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
88773,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
88773,1,Environmental issues,Physical environment,Terrain,Water,Contributed to outcome
88775,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88775,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88776,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Effect on operation
88776,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Flight crew
88777,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Awareness of condition
88777,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Contributed to outcome
88777,1,Personnel issues,Experience/knowledge,Experience/qualifications,Recent experience,Pilot
88777,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Effect on personnel
88777,1,Personnel issues,Psychological,Attention/monitoring,Monitoring environment,Pilot
88778,1,Personnel issues,Task performance,Planning/preparation,(general),Pilot
88778,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Awareness of condition
88778,1,Environmental issues,Physical environment,Object/animal/substance,Snow/ice,Contributed to outcome
88784,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
88784,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Decision related to condition
88784,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low ceiling,Decision related to condition
88784,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Below VFR minima,Decision related to condition
88784,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Effect on operation
88784,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Below VFR minima,Effect on operation
88784,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low ceiling,Effect on operation
88784,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
88784,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88784,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88788,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
88788,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
88788,1,Environmental issues,Physical environment,Terrain,Snowy/icy terrain,Contributed to outcome
88789,1,Aircraft,Aircraft systems,Navigation system,(general),Not specified
88789,1,Personnel issues,Physical,Health/Fitness,Use of medication/drugs,Pilot
88789,1,Organizational issues,Management,Culture,Standard operating practices,Operator
88789,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
88789,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88789,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low ceiling,Effect on operation
88790,1,Personnel issues,Psychological,Attention/monitoring,Monitoring environment,Pilot
88790,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Awareness of condition
88790,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
88791,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
88791,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
88792,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
88792,1,Personnel issues,Action/decision,Action,Delayed action,Pilot
88792,1,Aircraft,Aircraft power plant,Engine fuel and control,Fuel control/carburetor,Incorrect use/operation
88793,1,Environmental issues,Physical environment,Object/animal/substance,Snow/ice,Contributed to outcome
88793,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88793,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88795,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
88796,1,Environmental issues,Physical environment,Object/animal/substance,Pole,Contributed to outcome
88796,1,Environmental issues,Physical environment,Object/animal/substance,Fence/fence post,Contributed to outcome
88796,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88796,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
88796,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
88797,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88797,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88801,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
88801,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Incorrect use/operation
88801,1,Personnel issues,Action/decision,Info processing/decision,Identification/recognition,Maintenance personnel
88802,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Below VFR minima,Effect on personnel
88802,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88802,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Soft surface,Contributed to outcome
88803,1,Personnel issues,Experience/knowledge,Training,Total instruct/training recvd,Pilot
88803,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88803,1,Aircraft,Aircraft structures,Wing structure,Spar (on wing),Failure
88804,1,Aircraft,Aircraft power plant,Ignition system,Spark plugs/igniters,Incorrect service/maintenance
88804,1,Personnel issues,Task performance,Maintenance,Repair,Pilot
88804,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
88804,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88804,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Angle of attack,Not attained/maintained
88805,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Snow,Not specified
88805,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Low visibility,Not specified
88805,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Climb rate,Not attained/maintained
88805,1,Personnel issues,Task performance,Planning/preparation,Performance calculations,Pilot
88806,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88806,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88806,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Not specified
88807,1,Personnel issues,Action/decision,Action,Lack of action,Pilot
88807,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total experience w/ equipment,Pilot
88807,1,Personnel issues,Action/decision,Action,Incomplete action,Pilot
88807,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Prop/rotor parameters,Malfunction
88807,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller controlling system,Malfunction
88807,1,Not determined,Not determined,(general),(general),Unknown/Not determined
88809,1,Personnel issues,Psychological,Attention/monitoring,Task monitoring/vigilance,Pilot
88809,1,Environmental issues,Physical environment,Object/animal/substance,Pole,Response/compensation
88810,1,Environmental issues,Physical environment,Terrain,Sloped/uneven terrain,Contributed to outcome
88810,1,Not determined,Not determined,(general),(general),Unknown/Not determined
88811,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88811,1,Personnel issues,Experience/knowledge,Training,Total instruct/training recvd,Pilot
88811,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Below VFR minima,Decision related to condition
88811,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88811,1,Personnel issues,Experience/knowledge,Knowledge,Knowledge of meteorologic cond,Pilot
88811,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Below VFR minima,Effect on personnel
88811,1,Personnel issues,Experience/knowledge,Experience/qualifications,Qualification/certification,Pilot
88811,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
88811,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total instrument experience,Pilot
88813,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
88813,1,Environmental issues,Physical environment,Object/animal/substance,Snow/ice,Contributed to outcome
88813,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
88814,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88814,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Attain/maintain not possible
88814,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Effect on operation
88814,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Snow/slush/ice covered surface,Awareness of condition
88816,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88816,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88816,1,Environmental issues,Physical environment,Object/animal/substance,Sign/marker,Contributed to outcome
88817,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
88817,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
88817,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Contributed to outcome
88817,1,Aircraft,Aircraft structures,Wing structure,Spoilers,Incorrect use/operation
88818,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88818,1,Environmental issues,Physical environment,Object/animal/substance,Snow/ice,Contributed to outcome
88818,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88825,1,Personnel issues,Action/decision,Action,Unnecessary action,Pilot
88825,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88825,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Angle of attack,Capability exceeded
88825,1,Personnel issues,Task performance,Communication (personnel),Following instructions,Pilot of other aircraft
88825,1,Organizational issues,Support/oversight/monitoring,Oversight,Oversight of operation,Airport
88825,1,Personnel issues,Psychological,Perception/orientation/illusion,Perception,Pilot
88826,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
88826,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
88826,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
88827,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
88827,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
88827,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
88830,1,Aircraft,Aircraft handling/service,Maintenance/inspections,Time limits,Not serviced/maintained
88830,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Not specified
