MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel
102684,ERA21LA143,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102684/pdf,2/28/2021,Panacea,Florida,United States,29.989456,-84.395392,,1,Non-Fatal
102685,ERA21LA144,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102685/pdf,2/26/2021,Boyton Beach,Florida,United States,26.505,-80.195556,,,Non-Fatal
102690,CEN21LA139,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102690/pdf,2/26/2021,Kaufman,Texas,United States,32.585278,-96.307778,,,Non-Fatal
102696,ANC21LA018,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102696/pdf,2/26/2021,Lanai,Hawaii,United States,20.849569,-157.12654,,1,Non-Fatal
102700,ERA21LA145,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102700/pdf,2/27/2021,Englewood,Florida,United States,26.990081,-82.374018,,,Non-Fatal
102701,WPR21LA120,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102701/pdf,2/27/2021,Eatonville,Washington,United States,46.870772,-122.25717,,,Non-Fatal
102702,ANC21LA020,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102702/pdf,3/2/2021,Kodiak,Alaska,United States,58.872527,-152.13761,1,,Fatal
102703,WPR21LA121,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102703/pdf,3/3/2021,Lodi,California,United States,38.131706,-121.1703,,,Non-Fatal
102704,WPR21LA122,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102704/pdf,3/3/2021,Sisters,Oregon,United States,44.2984,-121.5445,,,Non-Fatal
102708,ERA21LA146,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102708/pdf,2/20/2021,Bartow,Florida,United States,27.944813,-81.786297,0,0,Non-Fatal
102710,ERA21LA147,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102710/pdf,3/2/2021,Johnstown,New York,United States,42.998194,-74.329555,0,0,Non-Fatal
102711,ERA21FA148,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102711/pdf,3/4/2021,Purcellville,Virginia,United States,39.23045,-77.74829,1,,Fatal
